GAMECATEGORY,SUBCATEGORY,GAME,MIN PLAYERS,MAX PLAYERS,MINAGE,LEARNING CURVE,POPULARITY,"URL#1","URL#2","URL#3","URL#4","URL#5","URL#6","URL#7","URL#8",NOTES,DATED ADDED
DRAWING GAMES,,Pictionary ,2,99,,Easy,High,https://sketchful.io/,https://skribbl.io/,https://gartic.io/,https://www.drawasaurus.org/,https://www.drawize.com/,https://www.guessing.io/,,,,
DRAWING GAMES,,Telestrations ,4,99,,Easy,,https://www.brokenpicturephone.com/,https://drawphone.tannerkrewson.com/,,,,,,,,
INCREMENTAL GAMES,,A Dark Room,1,1,,,,http://adarkroom.doublespeakgames.com/,,,,,,,,,
INCREMENTAL GAMES,,Cookie Clicker,1,1,5,Easy,High,http://orteil.dashnet.org/cookieclicker/,,,,,,,,DANGEROUSLY ADDICTIVE. THIS IS DRUGS. YOU'LL NEVER LEAVE YOUR ROOM. DON'T START PLAYING.,
INCREMENTAL GAMES,,Candy Box,1,1,,,,https://candybox2.github.io/,,,,,,,,,
INCREMENTAL GAMES,,Universal Paperclips,1,1,9,Easy,,https://www.decisionproblem.com/paperclips/index2.html,,,,,,,,,
PUZZLES,WORD PUZZLE,Crossword Puzzles,1,1,,,,https://downforacross.com/,https://www.washingtonpost.com/crossword-puzzles/,,,,,,,,
PUZZLES,ESCAPE ROOM,Ultra Mega Super Death Escape Room,1,1,,,,https://bit.ly/UMSDER  ,,,,,,,,,
PUZZLES,ESCAPE ROOM,Hogwarts Digital Escape Room,1,1,,,,https://bit.ly/HogwartsEscape ,,,,,,,,,
PUZZLES,ESCAPE ROOM,SOS,1,1,,,, https://www.paradigmq.com/sos/,,,,,,,,,
PUZZLES,ESCAPE ROOM,EnChambered,1,1,,,,https://www.enchambered.com/puzzles/,,,,,,,,,
PUZZLES,ESCAPE ROOM,Alone Together - EnChambered,2,2,,,,https://www.enchambered.com/puzzles/alone-together/,,,,,,,,,
PUZZLES,JIGSAW,Jigsaw Puzzles Online,1,99,,Easy,,http://www.epuzzle.info/multiplayer,,,,,,,,,
PUZZLES,JIGSAW,JigsawPuzzles.io,1,99,,Easy,,https://jigsawpuzzles.io/,,,,,,,,,
PUZZLES,JIGSAW,Puzzle Massive,1,99,,,,http://puzzle.massive.xyz/ ,,,,,,,,,
PUZZLES,JIGSAW,Puzzable,1,99,,,,http://puzzable.org/,,,,,,,,Upload custom images which are translated into jigsaw puzzles that can be collaboratively solved online,
PUZZLES,,Little Alchemy,,,,,,http://littlealchemy.com/,,,,,,,,,
PUZZLES,,Logic,,,,,,https://www.conceptispuzzles.com/index.aspx,,,,,,,,,
